jun-01;157402;193594;Espanya
may-01;141471;176374;Espanya
abr-01;127731;159153;Espanya
mar-01;141694;193089;Espanya
feb-01;123547;155239;Espanya
ene-01;98854;128595;Espanya
dic-00;102607;128947;Espanya
nov-00;109140;142231;Espanya
oct-00;106697;139601;Espanya
sep-00;91538;118565;Espanya
ago-00;90741;117327;Espanya
jul-00;158493;196120;Espanya
jun-00;152984;193566;Espanya
may-00;134991;172411;Espanya
abr-00;130422;163232;Espanya
mar-00;155433;199335;Espanya
feb-00;129416;164411;Espanya
ene-00;102859;132522;Espanya
dic-99;130513;163737;Espanya
nov-99;124066;159570;Espanya
oct-99;121141;153565;Espanya
sep-99;97462;126944;Espanya
ago-99;89974;116742;Espanya
jul-99;170422;213961;Espanya
jun-99;155878;197360;Espanya
may-99;131023;167898;Espanya
abr-99;120980;154974;Espanya
mar-99;157239;195584;Espanya
feb-99;115852;147302;Espanya
ene-99;88540;116279;Espanya
dic-98;127535;159150;Espanya
nov-98;110553;141572;Espanya
oct-98;110512;140768;Espanya
sep-98;79380;103871;Espanya
ago-98;71952;94495;Espanya
jul-98;146735;183240;Espanya
jun-98;124228;156066;Espanya
may-98;106831;134647;Espanya
abr-98;108080;137241;Espanya
mar-98;119932;149711;Espanya
feb-98;94134;119190;Espanya
ene-98;78497;102208;Espanya
dic-97;104276;130036;Espanya
nov-97;84340;108720;Espanya
oct-97;95614;124191;Espanya
sep-97;69501;90520;Espanya
ago-97;64475;83608;Espanya
jul-97;126439;157306;Espanya
jun-97;100062;126775;Espanya
may-97;94226;120203;Espanya
abr-97;95946;122726;Espanya
mar-97;103278;126420;Espanya
feb-97;78974;99385;Espanya
ene-97;73652;94865;Espanya
dic-96;91657;115035;Espanya
nov-96;75800;97352;Espanya
oct-96;84889;109142;Espanya
sep-96;63498;80806;Espanya
ago-96;55298;70445;Espanya
jul-96;108708;131910;Espanya
jun-96;83813;104440;Espanya
may-96;87914;110042;Espanya
abr-96;79007;98715;Espanya
mar-96;100551;119866;Espanya
feb-96;77137;94351;Espanya
ene-96;59913;76890;Espanya
dic-95;78598;97189;Espanya
nov-95;66334;85163;Espanya
oct-95;63463;82099;Espanya
sep-95;52302;67315;Espanya
ago-95;53236;68627;Espanya
jul-95;77071;97833;Espanya
jun-95;104472;127086;Espanya
may-95;82887;105280;Espanya
abr-95;74758;92594;Espanya
mar-95;95812;118568;Espanya
feb-95;66954;84190;Espanya
ene-95;54513;70588;Espanya
dic-94;93883;115648;Espanya
nov-94;68761;87486;Espanya
oct-94;71931;89975;Espanya
sep-94;65201;80745;Espanya
ago-94;65899;81102;Espanya
jul-94;104812;124580;Espanya
jun-94;98017;117950;Espanya
may-94;89907;108127;Espanya
abr-94;72145;88994;Espanya
mar-94;88819;108633;Espanya
feb-94;64490;80596;Espanya
ene-94;54977;69408;Espanya
dic-93;71658;88894;Espanya
nov-93;57910;74501;Espanya
oct-93;58109;74647;Espanya
sep-93;52187;67516;Espanya
ago-93;49918;65486;Espanya
jul-93;90287;114153;Espanya
jun-93;77284;99054;Espanya
may-93;69437;88685;Espanya
abr-93;67523;87351;Espanya
mar-93;77092;97806;Espanya
feb-93;60891;78234;Espanya
ene-93;43143;57274;Espanya
